areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2021-09-23,75_to_79,5541.2,51759
E92000001,England,nation,2021-09-23,40_to_44,12782.6,221173
E92000001,England,nation,2021-09-23,85_to_89,9304.2,33140
E92000001,England,nation,2021-09-23,55_to_59,9676.5,179267
E92000001,England,nation,2021-09-23,35_to_39,13069.5,242174
E92000001,England,nation,2021-09-23,65_to_69,6214.9,83759
E92000001,England,nation,2021-09-23,20_to_24,17916.2,321005
E92000001,England,nation,2021-09-23,45_to_49,11567.9,208594
E92000001,England,nation,2021-09-23,25_to_29,15865.9,305325
E92000001,England,nation,2021-09-23,70_to_74,5098.6,68521
E92000001,England,nation,2021-09-23,50_to_54,10810.1,206616
E92000001,England,nation,2021-09-23,60_to_64,8326.5,130601
E92000001,England,nation,2021-09-23,0_to_4,4316.0,71745
E92000001,England,nation,2021-09-22,70_to_74,5079.8,68269
E92000001,England,nation,2021-09-22,25_to_29,15844.1,304907
E92000001,England,nation,2021-09-22,50_to_54,10769.6,205842
E92000001,England,nation,2021-09-22,80_to_84,6696.5,42859
E92000001,England,nation,2021-09-22,60_to_64,8302.5,130224
E92000001,England,nation,2021-09-22,40_to_44,12730.7,220276
E92000001,England,nation,2021-09-22,15_to_19,17071.9,273398
E92000001,England,nation,2021-09-22,85_to_89,9291.3,33094
E92000001,England,nation,2021-09-22,65_to_69,6195.2,83493
E92000001,England,nation,2021-09-22,75_to_79,5523.7,51595
E92000001,England,nation,2021-09-22,30_to_34,14522.2,278306
E92000001,England,nation,2021-09-22,35_to_39,13036.6,241564
E92000001,England,nation,2021-09-22,45_to_49,11518.0,207693
E92000001,England,nation,2021-09-22,55_to_59,9645.9,178700
E92000001,England,nation,2021-09-22,20_to_24,17895.6,320636
E92000001,England,nation,2021-09-22,90+,13292.4,22537
E92000001,England,nation,2021-09-22,5_to_9,6747.2,122419
E92000001,England,nation,2021-09-22,10_to_14,12121.6,213567
E92000001,England,nation,2021-09-22,0_to_4,4296.8,71425
E92000001,England,nation,2021-09-21,5_to_9,6667.7,120977
E92000001,England,nation,2021-09-21,80_to_84,6683.7,42777
E92000001,England,nation,2021-09-21,10_to_14,11917.7,209975
E92000001,England,nation,2021-09-21,60_to_64,8278.9,129853
E92000001,England,nation,2021-09-21,40_to_44,12678.4,219370
E92000001,England,nation,2021-09-21,15_to_19,16985.4,272013
E92000001,England,nation,2021-09-21,50_to_54,10732.6,205134
E92000001,England,nation,2021-09-21,20_to_24,17876.3,320290
E92000001,England,nation,2021-09-21,65_to_69,6175.1,83223
E92000001,England,nation,2021-09-21,85_to_89,9274.8,33035
E92000001,England,nation,2021-09-21,30_to_34,14494.6,277777
E92000001,England,nation,2021-09-21,0_to_4,4279.1,71132
E92000001,England,nation,2021-09-21,35_to_39,13001.0,240904
E92000001,England,nation,2021-09-21,70_to_74,5064.6,68064
E92000001,England,nation,2021-09-21,45_to_49,11467.5,206782
E92000001,England,nation,2021-09-21,90+,13283.6,22522
E92000001,England,nation,2021-09-21,55_to_59,9617.9,178181
E92000001,England,nation,2021-09-21,25_to_29,15822.7,304495
E92000001,England,nation,2021-09-21,75_to_79,5507.6,51445
E92000001,England,nation,2021-09-20,55_to_59,9587.8,177622
E92000001,England,nation,2021-09-20,35_to_39,12966.6,240268
E92000001,England,nation,2021-09-20,70_to_74,5046.8,67825
E92000001,England,nation,2021-09-20,0_to_4,4256.5,70755
E92000001,England,nation,2021-09-20,20_to_24,17855.2,319912
E92000001,England,nation,2021-09-20,10_to_14,11681.6,205815
E92000001,England,nation,2021-09-20,75_to_79,5491.5,51295
E92000001,England,nation,2021-09-20,45_to_49,11420.5,205935
E92000001,England,nation,2021-09-20,90+,13266.4,22493
E92000001,England,nation,2021-09-20,80_to_84,6669.2,42684
E92000001,England,nation,2021-09-20,85_to_89,9260.4,32984
E92000001,England,nation,2021-09-20,25_to_29,15801.7,304090
E92000001,England,nation,2021-09-20,65_to_69,6153.6,82933
E92000001,England,nation,2021-09-20,15_to_19,16888.7,270465
E92000001,England,nation,2021-09-20,40_to_44,12628.2,218502
E92000001,England,nation,2021-09-20,60_to_64,8257.1,129511
E92000001,England,nation,2021-09-20,50_to_54,10693.7,204390
E92000001,England,nation,2021-09-20,5_to_9,6575.9,119311
E92000001,England,nation,2021-09-20,30_to_34,14464.5,277199
E92000001,England,nation,2021-09-19,90+,13249.9,22465
E92000001,England,nation,2021-09-19,55_to_59,9559.2,177093
E92000001,England,nation,2021-09-19,25_to_29,15775.8,303592
E92000001,England,nation,2021-09-19,40_to_44,12578.5,217641
E92000001,England,nation,2021-09-19,45_to_49,11371.8,205057
E92000001,England,nation,2021-09-19,50_to_54,10656.2,203673
E92000001,England,nation,2021-09-19,35_to_39,12930.7,239601
E92000001,England,nation,2021-09-19,85_to_89,9246.7,32935
E92000001,England,nation,2021-09-19,60_to_64,8231.7,129114
E92000001,England,nation,2021-09-19,10_to_14,11422.7,201254
E92000001,England,nation,2021-09-19,0_to_4,4234.5,70390
E92000001,England,nation,2021-09-19,75_to_79,5474.0,51131
E92000001,England,nation,2021-09-19,30_to_34,14435.4,276641
E92000001,England,nation,2021-09-19,15_to_19,16788.1,268854
E92000001,England,nation,2021-09-19,20_to_24,17832.4,319504
E92000001,England,nation,2021-09-19,5_to_9,6475.9,117496
E92000001,England,nation,2021-09-19,80_to_84,6653.3,42582
E92000001,England,nation,2021-09-19,70_to_74,5031.9,67625
E92000001,England,nation,2021-09-19,65_to_69,6132.5,82648
E92000001,England,nation,2021-09-18,0_to_4,4217.4,70105
E92000001,England,nation,2021-09-18,50_to_54,10627.9,203133
E92000001,England,nation,2021-09-18,5_to_9,6404.0,116192
E92000001,England,nation,2021-09-18,20_to_24,17816.6,319220
E92000001,England,nation,2021-09-18,55_to_59,9536.6,176675
E92000001,England,nation,2021-09-18,30_to_34,14414.0,276232
E92000001,England,nation,2021-09-18,60_to_64,8212.3,128809
E92000001,England,nation,2021-09-18,40_to_44,12540.1,216978
E92000001,England,nation,2021-09-18,65_to_69,6117.2,82442
E92000001,England,nation,2021-09-18,80_to_84,6642.3,42512
E92000001,England,nation,2021-09-18,75_to_79,5460.6,51006
E92000001,England,nation,2021-09-18,90+,13235.2,22440
E92000001,England,nation,2021-09-18,85_to_89,9236.3,32898
